Cislo Obce,Nazev Obce,Pocet Volicu,Pocet Obalek,Pocet Validnich Obalek
537021,Běrunice,N/A,N/A,N/A
537039,Bobnice,N/A,N/A,N/A
537047,Bříství,N/A,N/A,N/A
537055,Budiměřice,N/A,N/A,N/A
599301,Černíky,N/A,N/A,N/A
599671,Čilec,N/A,N/A,N/A
537080,Činěves,N/A,N/A,N/A
537098,Dlouhopolsko,N/A,N/A,N/A
537101,Dobšice,N/A,N/A,N/A
537110,Dvory,N/A,N/A,N/A
537128,Dymokury,N/A,N/A,N/A
534854,Hořany,N/A,N/A,N/A
537152,Hořátev,N/A,N/A,N/A
537161,Hradčany,N/A,N/A,N/A
537179,Hradištko,N/A,N/A,N/A
599638,Hrubý Jeseník,N/A,N/A,N/A
599620,Chleby,N/A,N/A,N/A
537217,Choťánky,N/A,N/A,N/A
537225,Chotěšice,N/A,N/A,N/A
537233,Chrást,N/A,N/A,N/A
534706,Chroustov,N/A,N/A,N/A
537250,Jíkev,N/A,N/A,N/A
599581,Jiřice,N/A,N/A,N/A
537268,Jizbice,N/A,N/A,N/A
537276,Kamenné Zboží,N/A,N/A,N/A
537292,Kněžice,N/A,N/A,N/A
551481,Kněžičky,N/A,N/A,N/A
537306,Kolaje,N/A,N/A,N/A
537314,Kostelní Lhota,N/A,N/A,N/A
529630,Kostomlátky,N/A,N/A,N/A
537331,Kostomlaty nad Labem,N/A,N/A,N/A
537349,Košík,N/A,N/A,N/A
537357,Kounice,N/A,N/A,N/A
534943,Kouty,N/A,N/A,N/A
537373,Kovanice,N/A,N/A,N/A
537390,Krchleby,N/A,N/A,N/A
537403,Křečkov,N/A,N/A,N/A
537411,Křinec,N/A,N/A,N/A
537438,Libice nad Cidlinou,N/A,N/A,N/A
537446,Loučeň,N/A,N/A,N/A
537454,Lysá nad Labem,N/A,N/A,N/A
537462,Mcely,N/A,N/A,N/A
537489,Městec Králové,N/A,N/A,N/A
537497,Milčice,N/A,N/A,N/A
537501,Milovice,N/A,N/A,N/A
534919,Netřebice,N/A,N/A,N/A
599654,Nový Dvůr,N/A,N/A,N/A
537004,Nymburk,N/A,N/A,N/A
537551,Odřepsy,N/A,N/A,N/A
537560,Okřínek,N/A,N/A,N/A
537578,Opočnice,N/A,N/A,N/A
537586,Opolany,N/A,N/A,N/A
599662,Oseček,N/A,N/A,N/A
537616,Oskořínek,N/A,N/A,N/A
537624,Ostrá,N/A,N/A,N/A
537632,Pátek,N/A,N/A,N/A
537659,Písková Lhota,N/A,N/A,N/A
537667,Písty,N/A,N/A,N/A
537683,Poděbrady,N/A,N/A,N/A
599590,Podmoky,N/A,N/A,N/A
537721,Přerov nad Labem,N/A,N/A,N/A
537756,Rožďalovice,N/A,N/A,N/A
537764,Sadská,N/A,N/A,N/A
537772,Sány,N/A,N/A,N/A
534757,Seletice,N/A,N/A,N/A
537781,Semice,N/A,N/A,N/A
537799,Senice,N/A,N/A,N/A
537802,Sloveč,N/A,N/A,N/A
537811,Sokoleč,N/A,N/A,N/A
537837,Stará Lysá,N/A,N/A,N/A
534889,Starý Vestec,N/A,N/A,N/A
537853,Straky,N/A,N/A,N/A
537861,Stratov,N/A,N/A,N/A
537896,Třebestovice,N/A,N/A,N/A
537900,Úmyslovice,N/A,N/A,N/A
536083,Velenice,N/A,N/A,N/A
534871,Velenka,N/A,N/A,N/A
537942,Vestec,N/A,N/A,N/A
537951,Vlkov pod Oškobrhem,N/A,N/A,N/A
599611,Vrbice,N/A,N/A,N/A
537977,Vrbová Lhota,N/A,N/A,N/A
537985,Všechlapy,N/A,N/A,N/A
537993,Vykáň,N/A,N/A,N/A
534471,Záhornice,N/A,N/A,N/A
599697,Zbožíčko,N/A,N/A,N/A
534862,Zvěřínek,N/A,N/A,N/A
503410,Žitovlice,N/A,N/A,N/A
